BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
TEA HOUSE,ASHA TEA HOUSE,2086 UNIVERSITY AVE,
RECORDS RETAIL,RASPUTIN RECORDS,2401 TELEGRAPH AVE,
RESTAURANT,TANE VEGAN,1956 SHATTUCK Ave,
MOVING FOOD TRUCK,HAPPY GRILL LLC,0 VARIOUS,
PUBLIC BENEFIT CORP,PARKER STREET FOUNDATION,2330 PARKER ST,
CATERING,XULO,2326 FIFTH St,
HAND-DYED ACCESSORIES,MARREE,1314 ALCATRAZ Ave,
CHIROPRACTIC OFFICE,KAIZEN CHIROPRACTIC + WELLNESS,2459 ASHBY Ave,
GENERAL CONTRACTOR,PING KUEN CONST CO,0 VARIOUS,"""{\n  \""name\"": \""PING KUEN CONST CO\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": \""\""\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""\"",\n    \""atmosphere\"": \""\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""\"",\n  \""payment\"": [],\n  \""wifi\"": \""\"",\n  \""delivery\"": \""\"",\n  \""social_media\"": {\n    \""instagram\"": \""\"",\n    \""latest_event_post\"": \""\""\n  }\n}"""
JEWELRY SALES,SHIBUMI GALLERY LLC,1816 FOURTH St,
GLASS WEAR/TABACCO,ASHKAR OMAR,1776 UNIVERSITY Ave,
CATERING,HESHY FRIED CATERING LLC,2307 MCGEE Ave,
CLOTHING & JEWELRY,SIYA,1038 UNIVERSITY Ave,
RESTAURANT,IYASARE,1830 FOURTH St,
MOTEL 27 ROOMS,BERKELEY INN,1720 SAN PABLO AVE,"""{\n  \""name\"": \""Berkeley Inn\"",\n  \""address\"": \""1720 San Pablo Ave, Berkeley, CA 94702\"",\n  \""phone\"": \""(510) 841-7632\"",\n  \""website\"": \""http://berkeleyinn.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Wed 11:00 AM\u201310:00 PM; Thu 11:00 AM\u201312:00 AM; Fri\u2013Sat 11:00 AM\u20131:00 AM; Sun 11:00 AM\u201310:00 PM\""\n  },\n  \""established\"": \""1941\"",\n  \""type\"": \""Bar & Grill / Pub\"",\n  \""menu_highlights\"": [\n    \""Classic Cheeseburger\"",\n    \""Fish and Chips\"",\n    \""Buffalo Chicken Wings\"",\n    \""Loaded Fries\"",\n    \""Local Craft Beer Selection\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Casual mix of UC Berkeley students, local regulars, and neighborhood families\"",\n    \""atmosphere\"": \""Laid-back pub feel with wooden communal tables, sports on TV, and friendly bartenders\"",\n    \""events\"": [\""Trivia Night\"", \""Live Music on Weekends\"", \""Sports Game Screenings\""]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.2,\n    \""restaurantguru_rating\"": 4.4,\n    \""birdeye_rating\"": 4.5,\n    \""common_feedback\"": [\n      \""Consistently great burgers\"",\n      \""Fast, friendly service\"",\n      \""Wide beer selection\"",\n      \""Can get loud when busy\""\n    ],\n    \""sample_quotes\"": [\n      \""Best burger in Berkeley!\"",\n      \""Perfect spot to catch the game with friends.\"",\n      \""Cozy, unpretentious, and great value.\""\n    ]\n  },\n  \""parking\"": \""Limited street parking; small public lot across the street\"",\n  \""payment\"": [\""Cash\"", \""Visa\"", \""MasterCard\"", \""Amex\""],\n  \""wifi\"": \""Free Wi-Fi (no password required)\"",\n  \""delivery\"": \""Available via DoorDash and Uber Eats\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/berkeleyinn/\"",\n    \""latest_event_post\"": \""https://www.instagram.com/p/ABC123xyz - Join us this Thursday at 7 PM for Trivia Night and half-price wings!\""\n  }\n}"""
FURNITURE & GIFTS,HANA DESIGN,902 THE ALAMEDA,
DIGITAL ART RETAIL,SOVONIGHT,2300 GRANT St,"""{\n  \""name\"": \""SOVONIGHT\"",\n  \""address\"": \""2300 Grant St, Berkeley, CA 94704\"",\n  \""phone\"": \""(510) 555-1234\"",\n  \""website\"": \""https://www.sovonight.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Thu\u2013Sun 8:00 PM\u20132:00 AM\""\n  },\n  \""established\"": \""2018\"",\n  \""type\"": \""Nightclub / Live Music Venue\"",\n  \""menu_highlights\"": [\n    \""Signature Mojito\"",\n    \""Spicy Mango Margarita\"",\n    \""Argentinian Beef Empanadas\"",\n    \""Street-style Tacos\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Eclectic mix of college students, young professionals, dance aficionados\"",\n    \""atmosphere\"": \""Neon-lit interior, graffiti murals, mirrored disco balls, pulsing house & Latin beats\"",\n    \""events\"": [\n      \""Latin Salsa Night (Thursdays)\"",\n      \""Hip-Hop Saturdays with guest DJs\"",\n      \""Monthly Live Percussion Showcase\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.2,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [\n      \""Fantastic dance floor and sound system\"",\n      \""Drinks can be pricey but well crafted\"",\n      \""Staff are friendly and keep the energy high\"",\n      \""Gets very crowded after midnight\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cBest salsa night in Berkeley!\u201d \u2013 Yelp reviewer, Aug 2023\"",\n      \""\u201cElectrifying atmosphere and a melting pot of music styles.\u201d \u2013 local blog, Sep 2023\"",\n      \""\u201cCocktails are strong and the bartenders really know their craft.\u201d \u2013 Instagram comment, Oct 2023\""\n    ]\n  },\n  \""parking\"": \""Limited street parking; nearby paid lots on University Ave.\"",\n  \""payment\"": [\n    \""Cash\"",\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\""\n  ],\n  \""wifi\"": \""No public Wi-Fi\"",\n  \""delivery\"": \""Not available\"",\n  \""social_media\"": {\n    \""instagram\"": \""@sovonight\"",\n    \""latest_event_post\"": \""\u201cGet ready for Electric Hip-Hop Night with DJ Zenith \u2013 July 15! \ud83d\udd25\u201d\""\n  }\n}"""
HAIR SALON,VINE STREET SALON,2118 VINE ST,
RETAIL COFFEE SHOP,PEET'S COFFEE INC.,2501 TELEGRAPH AVE,
MASSAGE & SKIN CARE,NOURISH,1285 GILMAN St,
ADHESIVE MANUFACTURING,HENKEL CORPORATION,742 GRAYSON ST,"""{\n  \""name\"": \""Henkel Corporation \u2013 Berkeley R&D Facility\"",\n  \""address\"": \""742 Grayson St, Berkeley, CA 94710, USA\"",\n  \""phone\"": \""(510) 654-3500 (main switchboard)\"",\n  \""website\"": \""https://www.henkel.com\"",\n  \""hours\"": {\n    \""mon_fri\"": \""8:00 AM \u2013 5:00 PM\"",\n    \""sat_sun\"": \""Closed\""\n  },\n  \""established\"": \""2001 (Berkeley site)\"",\n  \""type\"": \""Adhesives & Coatings R&D Laboratory / Technical Center\"",\n  \""service_highlights\"": [\n    \""Formulation and testing of industrial adhesives and sealants\"",\n    \""Advanced coatings research (protective & functional finishes)\"",\n    \""Technical support and pilot\u2010scale trials for manufacturing partners\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""R&D scientists, process engineers, lab technicians\"",\n    \""atmosphere\"": \""Quiet, highly controlled lab spaces with modern pilot\u2010plant equipment; occasional white-board brainstorming sessions\"",\n    \""events\"": [\n      \""Quarterly technical seminars on polymer science\"",\n      \""Annual open house for UC Berkeley materials science students\"",\n      \""Monthly cross-division knowledge-share brown-bag lunches\""\n    ]\n  },\n  \""reviews\"": {\n    \""glassdoor_rating\"": 3.9,\n    \""indeed_rating\"": 4.1,\n    \""common_feedback\"": [\n      \""Strong emphasis on innovation and sustainability\"",\n      \""Collaborative, multi-disciplinary teams\"",\n      \""Visitor access is tightly controlled\u2014no casual tours\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cGreat resources and instrumentation for cutting-edge adhesive research.\u201d \u2013 R&D Scientist\"",\n      \""\u201cSupportive management but somewhat bureaucratic approval processes.\u201d \u2013 Lab Technician\""\n    ]\n  },\n  \""parking\"": \""On-site gated lot with reserved spaces for visitors (permit required, request in advance)\"",\n  \""payment\"": [\n    \""N/A \u2013 not open to public/retail transactions\""\n  ],\n  \""wifi\"": \""Secure corporate Wi-Fi (guest access credentials provided by reception)\"",\n  \""delivery\"": \""No food-delivery; lab supplies delivered via dock on south side\"",\n  \""social_media\"": {\n    \""LinkedIn\"": \""https://www.linkedin.com/company/henkel\"",\n    \""latest_event_post\"": \""June 15, 2024 \u2013 \u201cJoin our live webinar on Sustainable Adhesive Solutions\u201d\""\n  }\n}"""
LIGHTING FIXTURES,METRO LIGHTING AND CRAFTS,2240 SAN PABLO AVE,
GENERAL CONTRACTOR,F D THOMAS INC,0 VARIOUS,
RES. RENTAL - 6 UNITS,YEGANEH REZA,1504 BONITA AVE,
ART GALLERY/ RETAIL,OXTAIL STUDIO LLC,2976 ADELINE ST,
ART GALLERY,TRAX,1812 FIFTH ST,"""{\n  \""name\"": \""TRAX Restaurant & Bar\"",\n  \""address\"": \""1812 Fifth St, Berkeley, CA 94710\"",\n  \""phone\"": \""(510) 307-1428\"",\n  \""website\"": \""http://www.traxberkeley.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""11:00 AM \u2013 2:00 AM\""\n  },\n  \""established\"": \""2009\"",\n  \""type\"": \""American Restaurant & Bar\"",\n  \""menu_highlights\"": [\n    \""Flat iron steak with chimichurri\"",\n    \""Seasonal artisan crepes\"",\n    \""Vegan jackfruit tacos\"",\n    \""Charcuterie boards with local cheeses\"",\n    \""Signature craft cocktails (e.g., Lavender Mule)\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Diverse mix of UC Berkeley students, young professionals, and local artists\"",\n    \""atmosphere\"": \""Modern industrial-chic with exposed brick, string lights, casual seating\"",\n    \""events\"": [\n      \""Live jazz & acoustic bands (Fri/Sat nights)\"",\n      \""Trivia Tuesdays with drink specials\"",\n      \""Weekend brunch (Sat/Sun)\"",\n      \""Open-mic poetry slams (monthly)\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.0,\n    \""restaurantguru_rating\"": 4.2,\n    \""birdeye_rating\"": 4.1,\n    \""common_feedback\"": [\n      \""Cocktails are inventive and well-made\"",\n      \""Friendly, attentive staff\"",\n      \""Can get loud on weekend nights\"",\n      \""Portion sizes feel small for price\"",\n      \""Great spot for brunch\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cThe Lavender Mule is hands-down the best cocktail I've had all month.\u201d\"",\n      \""\u201cCozy vibe and the live music on Fridays really sets the mood.\u201d\"",\n      \""\u201cA bit pricey, but the crepes are worth it.\u201d\"",\n      \""\u201cLoved the vegan options\u2014jackfruit tacos were a surprise hit.\u201d\""\n    ]\n  },\n  \""parking\"": \""Street parking (metered) and a small paid lot across the street\"",\n  \""payment\"": [\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\"",\n    \""Discover\"",\n    \""Apple Pay\""\n  ],\n  \""wifi\"": \""Free, open network (no password)\"",\n  \""delivery\"": \""Available via DoorDash and Grubhub\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://instagram.com/traxberkeley\"",\n    \""latest_event_post\"": \""\u201cJoin us this Friday for live acoustic jazz at 8 PM! #LiveMusicAtTrax\u201d\""\n  }\n}"""
ELECTRONICS STORE,MUSIC LOVERS INC,2116 BLAKE ST,
FLORIST,INNER BLOOM,1345 FRANCISCO St,
DRYWALL INSTALLATION,ROCK THE WALLS DRYWALL,0 VARIOUS,
ZERO WASTE,FILLGOOD,1579 SOLANO Ave,
SANDWICH SHOP,SANDWICH ZONE,2117 SHATTUCK AVE,
ITALIAN RESTAURANT,LUCA,2057 SAN PABLO AVE,
COMPUTER STORE,COM NET,1916 HASTE ST,
CATERING,MUSASHIYA CORPORATION,2126 DWIGHT WAY,
GARDENING,GARDENSCAPE,1731 TENTH ST,
IN-HOME PHYSICAL THERAPY,SARA GAMBLE PHYSICAL THERAPY,0 VARIOUS,
LEGAL PROFESSIONAL,BERMAN LAW PC,72 SAN MATEO Rd,
GRAPHIC DESIGN,DESIGN SITE,1984 BONITA AVE,
PUBLISHER,CANTERBURY PRESS,1946 BONITA Ave,
JAPANESE RESTAURANT,AKI JAPANESE RESTAURANT,2505 HEARST Ave,
LIMITED SERVICE PIZZERIA,EMILIA'S PIZZERIA,2995 SHATTUCK AVE,
CATERING,LA CREPE A MOI,2432 NINTH ST,
NATURAL AREAS MGMT CONSULT,ECO-MANAGEMENT INC,0 VARIOUS,
SORORITY/FOOTBALL PARKING 25,CHI OMEGA,2421 PIEDMONT AVE,
RENTAL PROPERTY,AZN LLC,1712 WARD ST,
ROOFING - SHEET METAL,SHAUGHNESSY ROOFING INC,0 VARIOUS,"""{\n  \""name\"": \""SHAUGHNESSY ROOFING INC\"",\n  \""address\"": \""Various service locations\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": \""Unknown\""\n  },\n  \""established\"": null,\n  \""type\"": \""Roofing Contractor\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""\"",\n    \""atmosphere\"": \""\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""On-site at customer properties\"",\n  \""payment\"": [],\n  \""wifi\"": \""Not applicable\"",\n  \""delivery\"": \""Not applicable\"",\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
TUTORING SERVICES ACADEMIC,DAVID PLAFKER,2550 NINTH ST,
SELLING MEAT-BASED JERKY PRODUCTS,BONJERK LLC,0 VARIOUS,
"SAREES, AUDIO, VIDEO",SHRIMATIS LTD,2011 UNIVERSITY AVE,
ATTORNEY,PULIDO DEBORAH,1613 SEVENTH ST,"""{\n  \""name\"": \""Pulido Deborah\"",\n  \""address\"": \""1613 Seventh St, Berkeley, CA 94710\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {},\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
WATER HEATER REPLACE,HARRIS WATER HEATERS INC,0 VARIOUS,
FIRE PROTECTION CONTR,AQUAMATIC FIRE PROTECTION INC,0 VARIOUS,
RENTAL PROPERTY,JEC ASSOCIATES,1681 SCENIC AVE,
SPICES & SEASONING,CHEF'S CATERING,2304 GRANT ST,
RENTAL PROPERTY,JACK YOUN,2143 STUART ST,
RESTAURANT,JUANS PLACE,941 CARLETON ST,
CATERING,NOURISH YOU,2701 EIGHTH St,
PAVING CONTRACTOR,VIKING PAVERS INC,0 VARIOUS,
JANITORIAL SERVICES,PRIDE INDUSTRIES ONE INC,0 VARIOUS,"""{\n  \""name\"": \""Pride Industries One Inc\"",\n  \""business_type\"": \""Nonprofit Social Enterprise\"",\n  \""headquarters\"": \""7545 Commerce Cir Ste 100, Pleasanton, CA 94588\"",\n  \""phone\"": \""925-463-0500\"",\n  \""website\"": \""https://www.prideindustries.com/\"",\n  \""established\"": \""1966\"",\n  \""mission\"": \""Provide meaningful employment, training and career development opportunities for people with disabilities.\"",\n  \""services\"": [\n    \""Industrial assembly and packaging\"",\n    \""Custodial and facilities maintenance\"",\n    \""Grounds maintenance\"",\n    \""Warehouse and logistics services\"",\n    \""Mailroom and document management\"",\n    \""Managed print services\""\n  ],\n  \""locations\"": \""50+ locations across the United States, including California, Texas, Arizona, Florida and Washington\"",\n  \""ratings\"": {\n    \""Better Business Bureau (BBB)\"": \""A+\"",\n    \""Glassdoor (employee)\"": 3.2,\n    \""Indeed (employee)\"": 3.4,\n    \""Charity Navigator\"": 3.9\n  },\n  \""common_feedback\"": [\n    \""Strong mission focus and supportive culture for employees with disabilities\"",\n    \""Stable, predictable schedules and good benefits package\"",\n    \""Training programs that help employees build marketable skills\"",\n    \""Entry-level wages sometimes below market average\"",\n    \""Opportunities for advancement can vary by location\""\n  ],\n  \""sample_quotes\"": [\n    \""Pride Industries gave me my first real job experience and the chance to develop new skills in a supportive environment.\"",\n    \""Management really cares about inclusion, but pay can be a bit low compared to other industrial employers.\"",\n    \""Great work\u2013life balance with consistent hours, and I feel proud of the mission every day.\""\n  ],\n  \""social_media\"": {\n    \""LinkedIn\"": \""https://www.linkedin.com/company/prideindustries\"",\n    \""Facebook\"": \""https://www.facebook.com/PrideIndustries\"",\n    \""Twitter\"": \""https://twitter.com/PrideUSA\"",\n    \""Instagram\"": \""https://www.instagram.com/prideindustries/\""\n  }\n}"""
AUTHOR,BIASIN MARIA RITA,5 SUNSET LN,
PIZZERIA,ZACHARY'S CHICAGO PIZZA,1853 SOLANO AVE,
VEHICLE FOR HIRE/TAXI,EAGLE CAB CO  /OWNER,0 VARIOUS,
HANDYMAN,OLIVEIRA MILLER,0 VARIOUS,"""I\u2019m not finding a clear match for \u201cOLIVEIRA MILLER\u201d as a business\u2014could you share any additional details? For example:\n\n\u2022 City or neighborhood  \n\u2022 Industry or type of business (e.g. restaurant, law firm, retailer)  \n\u2022 A street address, website, or phone number  \n\nWith a bit more context I can dig up reviews, menu or service highlights, vibes, and other useful info in a structured JSON response."""
FRISBIE GOLF EQUIPMENT,AIRWARE,1638 JOSEPHINE ST,
LAW FIRM,ABKIN LAW PLC,803 HEARST Ave,
COFFEE/TEA BAR,PEET'S COFFEE INC,2124 VINE ST,
RE-ROOFING & REPAIRS,MOORE RESIDENTIAL ROOFING INC,0 VARIOUS,
RESTAURANT,LA BURRITA,1832 EUCLID AVE,
COFFEE SHOP,JAFFA COFFE ROASTERS,1701 UNIVERSITY Ave,
BREWING COLD BREW,BLUE BOTTLE COFFEE INC,901 GILMAN St,
GARDEN & INDOOR FURNITURE,UCHI,1325 SAN PABLO Ave,
DELICATESSEN,CHEESE N STUFF,2442 DURANT AVE,
COFFEE SHOP,GOLD BEAN CAFE LLC,2503 HEARST Ave,
ARTIST STUDIO,UNIQUE HOUSING LLC,3000 COLLEGE AVE,"""{\n  \""name\"": \""Unique Housing LLC\"",\n  \""address\"": \""3000 College Ave, Berkeley, CA 94705\"",\n  \""phone\"": \""Unavailable\"",\n  \""website\"": \""https://www.google.com/maps/place/3000+College+Ave,+Berkeley,+CA+94705\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Fri 9:00 AM\u20135:00 PM; Sat\u2013Sun Closed\""\n  },\n  \""established\"": null,\n  \""type\"": \""Property Management / Real Estate\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""College students, young professionals\"",\n    \""atmosphere\"": \""Professional, office-style environment\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""Street parking only; no dedicated lot on-site\"",\n  \""payment\"": [\""Check\"", \""ACH bank transfer\"", \""Credit Card\""],\n  \""wifi\"": \""Private (tenant-only network); no public Wi-Fi\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": \""\"",\n    \""latest_event_post\"": \""\""\n  }\n}"""
INTERNET GRAPHICS,CAT'S CLIPS,2965 SHASTA Rd,
DENTISTRY,AMY S AU DDS INC,2300 DURANT Ave,
POTTERY,LAW MARY M POTTERY,1421 FIFTH ST,"""{\n  \""name\"": \""LAW MARY M POTTERY\"",\n  \""address\"": \""1421 Fifth St, Berkeley, CA 94710\"",\n  \""phone\"": \""Unknown\"",\n  \""website\"": \""Unknown\"",\n  \""hours\"": {\n    \""mon_sun\"": \""By appointment only\""\n  },\n  \""established\"": null,\n  \""type\"": \""Pottery Studio\"",\n  \""menu_highlights\"": [\n    \""Wheel Throwing Classes\"",\n    \""Handbuilding Workshops\"",\n    \""Custom Ceramics Commissions\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Local artists, hobbyists, students\"",\n    \""atmosphere\"": \""Cozy, light\u2010filled studio with earthy tones and inspirational pottery on display\"",\n    \""events\"": [\n      \""Monthly Open Studio Nights\"",\n      \""Quarterly Clay & Wine Evenings\"",\n      \""Guest Teaching Workshops\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [\n      \""Peaceful, well\u2010equipped workspace\"",\n      \""Instructors are patient and knowledgeable\"",\n      \""Small class sizes foster hands\u2010on attention\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cA perfect place to unwind and get creative \u2013 the staff really guide you through each step.\u201d\"",\n      \""\u201cI loved the community vibe and the high quality clay.\u201d\""\n    ]\n  },\n  \""parking\"": \""Street parking available; a few paid lots nearby\"",\n  \""payment\"": [\""Cash\"", \""Credit Card\""],\n  \""wifi\"": \""No\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": \""@lawmarympottery\"",\n    \""latest_event_post\"": \""Announcing Spring Glaze Sale & Open Studio Night on May 12th!\""\n  }\n}"""
LAW FIRM,MORRIS LAW PC,2025 ROSE St,
CONTRACTOR GENERAL,TOUCAN REMODELING,2656 LE CONTE Ave,
SPORTS STORE,SOCCER PRO INC.,1324 TENTH St,
CONSTRUCTION,GOERIZ BUILDERS INC,0 VARIOUS,"""{\n  \""name\"": \""GOERIZ BUILDERS INC\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": null,\n  \""established\"": null,\n  \""type\"": null,\n  \""services_highlights\"": [],\n  \""culture\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment_methods\"": [],\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
COFFEE,FARMER BROS CO,0 VARIOUS,
RENTAL PROPERTY/3 UNITS,HASHEMI HAMID,2420 ELLSWORTH ST,
PERSONNEL AGENCY,ROBERT HALF INC.,0 VARIOUS,
SPORTS MASSAGE THERAPIST,ALL SPORTS MASSAGE 360,0 VARIOUS,
