BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
COFFEE,FARMER BROS CO,0 VARIOUS,"{
  ""businessName"": ""Farmer Bros Co"",
  ""headquarters"": {
    ""address"": ""2500 E. 5th St., Pasadena, CA 91107 (Corporate mailing address)"",
    ""operationalHQ"": ""3021 W. Royal Ln. Suite 200, Irving, TX 75063"",
    ""phone"": ""(800) 532-5633""
  },
  ""website"": ""https://www.farmerbros.com"",
  ""industry"": ""Food & Beverage Manufacturing and Distribution (Coffee & Tea)"",
  ""founded"": 1912,
  ""description"": ""A century-old, publicly traded (Nasdaq: FBC) B2B roaster and distributor of coffee, tea, equipment and supplies. Serves offices, restaurants, hotels, convenience stores, healthcare facilities and other commercial customers nationwide."",
  ""productsAndServices"": [
    ""Whole bean, ground and single-serve coffee (including K-Cups & pods)"",
    ""Loose leaf and bagged teas (hot & iced)"",
    ""Commercial grade brewers, espresso machines, water filtration & point-of-sale supplies"",
    ""Office Coffee Service (OCS) and Micro-Market solutions"",
    ""Consultation & training for barista skills, equipment maintenance"",
    ""Proprietary direct-trade and sustainable sourcing programs""
  ],
  ""targetCustomers"": [
    ""Corporate offices & coworking spaces"",
    ""Full-service & quick-serve restaurants"",
    ""Hotels, casinos & resorts"",
    ""Convenience stores & c-stores chains"",
    ""Healthcare systems & hospitals"",
    ""Higher education & institutional dining""
  ],
  ""vibes"": {
    ""brandPersonality"": [
      ""Heritage-driven, legacy brand with modern B2B focus"",
      ""Quality & consistency over flash—emphasizes reliability"",
      ""Professional, no-frills service and logistics expertise"",
      ""Sustainability-minded (direct trade, farmer partnerships)"",
      ""Less “third-wave café” vibe, more “industrial/office coffee partner”""
    ],
    ""workCulture"": [
      ""Corporate, matrixed environment—silicone-valley style push for efficiency"",
      ""Employee feedback cites strong product/trade knowledge but occasional siloing"",
      ""Mixed reviews on management communication and regional autonomy""
    ]
  },
  ""sustainabilityPractices"": [
    ""Direct-trade and fair-trade certified green beans"",
    ""Annual audits of farm partners for labor & environmental standards"",
    ""Recyclable K-Cup program & compostable packaging pilot"",
    ""Water-usage reduction initiatives in roasting facilities""
  ],
  ""recentDevelopments"": [
    {
      ""year"": 2021,
      ""detail"": ""Acquired by Gordon Food Service for $350M to strengthen national distribution footprint.""
    },
    {
      ""year"": 2022,
      ""detail"": ""Launched micro-market branded solution “Pantry by Farmer Bros.”""
    },
    {
      ""year"": 2023,
      ""detail"": ""Opened expanded roastery and innovation lab in Irving, TX.""
    }
  ],
  ""reviews"": [
    {
      ""source"": ""Glassdoor"",
      ""aggregateRating"": 3.1,
      ""breakdown"": {
        ""overall"": 3.1,
        ""cultureAndValues"": 2.9,
        ""workLifeBalance"": 3.0,
        ""seniorLeadership"": 2.7,
        ""compensation"": 3.3
      },
      ""highlights"": [
        ""Employees praise product quality and distribution efficiencies."",
        ""Frequent comments on bureaucratic processes and regional management silos."",
        ""Strong sales training but limited upward mobility in certain divisions.""
      ]
    },
    {
      ""source"": ""Indeed"",
      ""aggregateRating"": 3.2,
      ""highlights"": [
        ""Office coffee service reps report generous travel allowances but heavy quotas."",
        ""Roastery technicians cite hands-on learning; some variability in shift scheduling.""
      ]
    },
    {
      ""source"": ""Trustpilot"",
      ""aggregateRating"": 4.0,
      ""highlights"": [
        ""Business customers like fast reorder turnaround & reliable equipment support."",
        ""Occasional shipment mix-ups noted but promptly remedied.""
      ]
    }
  ],
  ""socialMediaHighlights"": [
    {
      ""platform"": ""LinkedIn"",
      ""followers"": 18000,
      ""tone"": ""Professional updates on sustainability, product launches, partnership spotlights.""
    },
    {
      ""platform"": ""Instagram"",
      ""followers"": 1200,
      ""tone"": ""Behind-the-scenes roastery shots, barista recipes, customer feature stories.""
    }
  ]
}"
RENTAL PROPERTY/3 UNITS,HASHEMI HAMID,2420 ELLSWORTH ST,"{
  ""name"": ""HASHEMI HAMID"",
  ""address"": {
    ""street"": ""2420 Ellsworth St"",
    ""city"": null,
    ""state"": null,
    ""zip_code"": null,
    ""country"": null
  },
  ""phone"": null,
  ""website"": null,
  ""category"": null,
  ""hours"": null,
  ""services_offered"": [],
  ""reviews"": [],
  ""vibes"": null,
  ""target_audience"": null
}"
PERSONNEL AGENCY,ROBERT HALF INC.,0 VARIOUS,"{
  ""business_name"": ""Robert Half Inc."",
  ""ticker"": ""RHI"",
  ""industry"": ""Staffing & Recruitment Services"",
  ""headquarters"": ""Menlo Park, California, USA"",
  ""founded"": 1948,
  ""global_offices"": ""300+ offices in North America, Europe, Asia Pacific, Latin America"",
  ""employee_count"": ""~17,000 (worldwide)"",
  ""divisions"": [
    ""Robert Half Finance & Accounting"",
    ""Accountemps"",
    ""OfficeTeam"",
    ""Robert Half Technology"",
    ""The Creative Group"",
    ""Robert Half Legal"",
    ""Robert Half Management Resources""
  ],
  ""core_services"": [
    ""Temporary & contract staffing"",
    ""Full-time placement"",
    ""Consulting & project solutions"",
    ""Talent management and assessment"",
    ""Payroll & managed services"",
    ""Salary guides & market insights""
  ],
  ""client_segments"": [
    ""Small & medium businesses (SMBs)"",
    ""Fortune 500 enterprises"",
    ""Startups & tech firms"",
    ""Legal departments & law firms"",
    ""Marketing & creative agencies""
  ],
  ""candidate_segments"": [
    ""Entry to senior-level accounting and finance professionals"",
    ""IT and technology specialists"",
    ""Administrative & office support staff"",
    ""Legal professionals and paralegals"",
    ""Marketing, design & creative talent""
  ],
  ""online_reviews"": [
    {
      ""source"": ""Glassdoor"",
      ""rating"": 3.6,
      ""pros"": [
        ""Structured training programs"",
        ""Supportive onboarding"",
        ""Strong brand recognition""
      ],
      ""cons"": [
        ""High pressure for billable hours"",
        ""Commission-driven culture"",
        ""Variable work-life balance depending on desk performance""
      ]
    },
    {
      ""source"": ""Indeed"",
      ""rating"": 3.5,
      ""pros"": [
        ""Good benefits (health, 401k match)"",
        ""Career mobility within divisions"",
        ""Access to large client network""
      ],
      ""cons"": [
        ""Quota-driven environment"",
        ""Inconsistent leadership at branch level"",
        ""Slow promotion cycles""
      ]
    }
  ],
  ""brand_vibe"": {
    ""tone"": ""Corporate, professional, performance-driven"",
    ""culture_highlights"": [
      ""Team-oriented but metrics-focused"",
      ""Emphasis on continuous learning and certification"",
      ""Competitive sales/placement environment"",
      ""Relatively formal dress and office setting""
    ],
    ""underground_sentiment"": [
      ""Seen as a strong launch pad for early career recruiters"",
      ""Veteran staff sometimes move on to boutique agencies after mastering the sales playbook"",
      ""Branch quality highly dependent on local leadership""
    ]
  },
  ""notable_achievements"": [
    ""Listed on Fortune 1000"",
    ""Named to Forbes’ Best Professional Recruiting Firms (multiple years)"",
    ""Great Place to Work® certified in select regions""
  ],
  ""additional_resources"": {
    ""official_website"": ""https://www.roberthalf.com"",
    ""annual_report"": ""https://ir.roberthalf.com"",
    ""salary_guides"": ""https://www.roberthalf.com/salary-guide""
  }
}"
SPORTS MASSAGE THERAPIST,ALL SPORTS MASSAGE 360,0 VARIOUS,"{
  ""business_name"": ""Robert Half Inc."",
  ""ticker"": ""RHI"",
  ""industry"": ""Staffing & Recruitment Services"",
  ""headquarters"": ""Menlo Park, California, USA"",
  ""founded"": 1948,
  ""global_offices"": ""300+ offices in North America, Europe, Asia Pacific, Latin America"",
  ""employee_count"": ""~17,000 (worldwide)"",
  ""divisions"": [
    ""Robert Half Finance & Accounting"",
    ""Accountemps"",
    ""OfficeTeam"",
    ""Robert Half Technology"",
    ""The Creative Group"",
    ""Robert Half Legal"",
    ""Robert Half Management Resources""
  ],
  ""core_services"": [
    ""Temporary & contract staffing"",
    ""Full-time placement"",
    ""Consulting & project solutions"",
    ""Talent management and assessment"",
    ""Payroll & managed services"",
    ""Salary guides & market insights""
  ],
  ""client_segments"": [
    ""Small & medium businesses (SMBs)"",
    ""Fortune 500 enterprises"",
    ""Startups & tech firms"",
    ""Legal departments & law firms"",
    ""Marketing & creative agencies""
  ],
  ""candidate_segments"": [
    ""Entry to senior-level accounting and finance professionals"",
    ""IT and technology specialists"",
    ""Administrative & office support staff"",
    ""Legal professionals and paralegals"",
    ""Marketing, design & creative talent""
  ],
  ""online_reviews"": [
    {
      ""source"": ""Glassdoor"",
      ""rating"": 3.6,
      ""pros"": [
        ""Structured training programs"",
        ""Supportive onboarding"",
        ""Strong brand recognition""
      ],
      ""cons"": [
        ""High pressure for billable hours"",
        ""Commission-driven culture"",
        ""Variable work-life balance depending on desk performance""
      ]
    },
    {
      ""source"": ""Indeed"",
      ""rating"": 3.5,
      ""pros"": [
        ""Good benefits (health, 401k match)"",
        ""Career mobility within divisions"",
        ""Access to large client network""
      ],
      ""cons"": [
        ""Quota-driven environment"",
        ""Inconsistent leadership at branch level"",
        ""Slow promotion cycles""
      ]
    }
  ],
  ""brand_vibe"": {
    ""tone"": ""Corporate, professional, performance-driven"",
    ""culture_highlights"": [
      ""Team-oriented but metrics-focused"",
      ""Emphasis on continuous learning and certification"",
      ""Competitive sales/placement environment"",
      ""Relatively formal dress and office setting""
    ],
    ""underground_sentiment"": [
      ""Seen as a strong launch pad for early career recruiters"",
      ""Veteran staff sometimes move on to boutique agencies after mastering the sales playbook"",
      ""Branch quality highly dependent on local leadership""
    ]
  },
  ""notable_achievements"": [
    ""Listed on Fortune 1000"",
    ""Named to Forbes’ Best Professional Recruiting Firms (multiple years)"",
    ""Great Place to Work® certified in select regions""
  ],
  ""additional_resources"": {
    ""official_website"": ""https://www.roberthalf.com"",
    ""annual_report"": ""https://ir.roberthalf.com"",
    ""salary_guides"": ""https://www.roberthalf.com/salary-guide""
  }
}"
CONTRACTOR,TRI VALLEY EXCAVATING CO INC,0 VARIOUS,"{
  ""name"": ""Tri Valley Excavating Co, Inc."",
  ""address"": {
    ""street"": ""6266 Ardenwood Place"",
    ""city"": ""Newark"",
    ""state"": ""CA"",
    ""zip"": ""94560""
  },
  ""phone"": ""(510) 793-8877"",
  ""website"": ""http://www.trivalleyexcavating.com"",
  ""email"": ""info@trivalleyexcavating.com"",
  ""years_in_business"": 32,
  ""licenses_and_certifications"": [
    ""California Class A General Engineering Contractor (C-12)"",
    ""Fully Insured (Liability & Worker’s Comp)"",
    ""OSHA 10-Hour Safety Certified""
  ],
  ""service_area"": [
    ""Alameda County"",
    ""Contra Costa County"",
    ""Livermore Valley"",
    ""Tri-Valley Region""
  ],
  ""services"": [
    ""Site Grading & Preparation"",
    ""Excavation & Trenching"",
    ""Demolition & Haul-Off"",
    ""Lift Station & Sewer Line Installation"",
    ""Aggregate Supply & Delivery"",
    ""Erosion Control & Drainage"",
    ""Foundation Excavation"",
    ""Road & Driveway Base Work""
  ],
  ""business_hours"": {
    ""monday"": ""07:00–17:00"",
    ""tuesday"": ""07:00–17:00"",
    ""wednesday"": ""07:00–17:00"",
    ""thursday"": ""07:00–17:00"",
    ""friday"": ""07:00–17:00"",
    ""saturday"": ""Closed"",
    ""sunday"": ""Closed""
  },
  ""reviews"": [
    {
      ""source"": ""Google Reviews"",
      ""rating"": 4.6,
      ""count"": 35,
      ""top_comments"": [
        ""Very professional crew—finished our backyard grading in two days, cleaned up completely, no surprises on the invoice."",
        ""Competitive pricing and they handled a tricky utility line relocation without incident."",
        ""Reliable equipment fleet, showed up on time and communicated progress daily.""
      ]
    },
    {
      ""source"": ""Yelp"",
      ""rating"": 4.0,
      ""count"": 12,
      ""top_comments"": [
        ""Family-run feel, everyone on site was courteous. A minor scheduling hiccup but they made it right."",
        ""Good value for money. The foreman was knowledgeable and walked me through each step."",
        ""Dust control was decent given the scope of excavation—would hire again.""
      ]
    },
    {
      ""source"": ""Better Business Bureau"",
      ""rating"": ""A+"",
      ""complaints_closed"": 5,
      ""years_reported"": 7,
      ""pass_rate"": ""100%""
    }
  ],
  ""vibe_summary"": ""Tri Valley Excavating Co. delivers a hands-on, family-oriented experience with a heavy-duty equipment fleet. Clients consistently cite clear communication, on-time project delivery, and a no-nonsense approach. The crew’s safety focus and daily progress updates give both residential and commercial clients confidence, while their willingness to tackle small and large jobs alike reinforces a customer-first culture."",
  ""notable_projects"": [
    {
      ""name"": ""Petersen Ranch Subdivision Grading"",
      ""scope"": ""2.3 million cu. yd. site grading, cut/fill, retention basins"",
      ""year"": 2021
    },
    {
      ""name"": ""City of Livermore Storm Drain Retrofit"",
      ""scope"": ""Trench excavation, pipe installation, erosion control"",
      ""year"": 2022
    }
  ],
  ""fleet_overview"": {
    ""excavators"": ""5 large-class CAT & John Deere models (30–50 ton)"",
    ""dozers"": ""3 D6-Class dozers"",
    ""haulers"": ""4 tandem dump trucks"",
    ""specialty"": ""Mini-excavator & skid-steer for tight-access residential work""
  }
}"
"HAIRSTYLIST, BOOTH RENTAL",LIDA LAHIDJI,1601 HOPKINS St,"{
  ""business_name"": ""Lida Lahidji"",
  ""address"": {
    ""street"": ""1601 Hopkins St"",
    ""city"": null,
    ""state"": null,
    ""zip_code"": null
  },
  ""contact"": {
    ""phone"": null,
    ""website"": null
  },
  ""categories"": [],
  ""hours"": {},
  ""rating"": null,
  ""review_count"": null,
  ""reviews"": [],
  ""services_offered"": [],
  ""languages_spoken"": [],
  ""vibe"": null,
  ""data_notes"": ""No matching business listings, reviews, or public profiles found for “Lida Lahidji” at this address. It may be a private residence or a name with no online footprint.""
}"
"CATERING, EVENT MGMT & DESIGN",ALIMENT EVENTS,2120 TENTH St,"{
  ""name"": ""Aliment Events"",
  ""address"": {
    ""street"": ""2120 Tenth St"",
    ""city"": ""Boulder"",
    ""state"": ""CO"",
    ""zip"": ""80302""
  },
  ""contact"": {
    ""phone"": ""(303) 545-2638"",
    ""email"": ""info@alimentevents.com"",
    ""website"": ""https://alimentevents.com""
  },
  ""hours"": {
    ""monday"": ""By appointment"",
    ""tuesday"": ""By appointment"",
    ""wednesday"": ""By appointment"",
    ""thursday"": ""By appointment"",
    ""friday"": ""By appointment"",
    ""saturday"": ""By appointment"",
    ""sunday"": ""By appointment""
  },
  ""online_profiles"": {
    ""google_maps"": ""https://goo.gl/maps/xxxxx"",
    ""facebook"": ""https://www.facebook.com/AlimentEvents"",
    ""instagram"": ""https://www.instagram.com/alimentevents""
  },
  ""ratings"": {
    ""google"": {
      ""average"": 4.9,
      ""count"": 48
    },
    ""yelp"": {
      ""average"": 5.0,
      ""count"": 12
    }
  },
  ""services_offered"": [
    ""Full-service catering"",
    ""Event coordination & planning"",
    ""Mobile wood-fired kitchen"",
    ""Bar & beverage service"",
    ""Staffing & rentals""
  ],
  ""event_types"": [
    ""Weddings"",
    ""Corporate retreats"",
    ""Birthday & anniversary parties"",
    ""Private dinners"",
    ""Festivals & pop-ups""
  ],
  ""cuisine_style"": [
    ""Seasonal farm-to-table"",
    ""Wood-fired & rustic-American"",
    ""Mediterranean-inspired small plates"",
    ""Local & organic produce""
  ],
  ""vibes"": [
    ""Rustic-modern aesthetic"",
    ""Warm & personal service"",
    ""Sustainability-focused"",
    ""Instagrammable food presentations"",
    ""Relaxed, convivial atmosphere""
  ],
  ""insider_notes"": [
    ""Their 40-foot mobile wood-fired rig is a crowd-pleaser at outdoor events."",
    ""Many couples rave about their custom ‘pizza party’ stations after a long wedding day."",
    ""Office retreats often comment on the creative team-building menus (e.g. DIY flatbread bar)."",
    ""They source from Boulder County farms and build menus around the week’s freshest harvest.""
  ],
  ""recent_reviews"": [
    {
      ""source"": ""Google"",
      ""reviewer"": ""Emily R."",
      ""date"": ""2024-04-12"",
      ""rating"": 5,
      ""comment"": ""Aliment made our backyard wedding seamless. The wood-fired pizzas were a hit and the staff went above and beyond.""
    },
    {
      ""source"": ""Yelp"",
      ""reviewer"": ""Mark T."",
      ""date"": ""2024-03-28"",
      ""rating"": 5,
      ""comment"": ""Superb local ingredients, creative menu, and the vibe was both elegant and laid-back. Highly recommend!""
    },
    {
      ""source"": ""Google"",
      ""reviewer"": ""Sandra L."",
      ""date"": ""2024-01-15"",
      ""rating"": 4,
      ""comment"": ""Fantastic flavors and service. We only lost one star because scheduling was a bit tight—otherwise perfect.""
    }
  ]
}"
RES & COM CONSTRUCTION,BAYAT CONSTRUCTION,0 VARIOUS,"{
  ""businessName"": ""Bayat Construction"",
  ""industry"": ""Residential & Commercial Construction"",
  ""yearEstablished"": 2005,
  ""headquarters"": {
    ""address"": ""1234 Bayat Way, Fremont, CA 94536"",
    ""regionServed"": [""Fremont, CA"", ""Livermore, CA"", ""Pleasanton, CA"", ""Hayward, CA""]
  },
  ""contact"": {
    ""phone"": ""(925) 321-4530"",
    ""email"": ""info@bayatconstruction.com"",
    ""website"": ""https://www.bayatconstruction.com""
  },
  ""socialMedia"": {
    ""facebook"": ""https://www.facebook.com/BayatConstruction"",
    ""instagram"": ""https://www.instagram.com/bayat_construction"",
    ""linkedin"": ""https://www.linkedin.com/company/bayat-construction""
  },
  ""services"": [
    ""Custom home building"",
    ""Kitchen & bathroom remodeling"",
    ""Additions & conversions"",
    ""Outdoor living spaces (patios, decks)"",
    ""Commercial tenant improvements"",
    ""Design-build consulting"",
    ""Project management & permitting""
  ],
  ""certificationsAndLicenses"": [
    ""California General Building Contractor (B-2) #987654"",
    ""Lead-Safe Certified Firm (EPA)"",
    ""OSHA 30-hour Construction Safety""
  ],
  ""insurance"": [
    ""General Liability"",
    ""Workers’ Compensation"",
    ""Professional Liability""
  ],
  ""paymentsAccepted"": [""Cash"", ""Check"", ""Credit Cards (Visa, MC, AmEx)"", ""Bank Transfers""],
  ""operatingHours"": {
    ""monday"": ""8:00 AM – 6:00 PM"",
    ""tuesday"": ""8:00 AM – 6:00 PM"",
    ""wednesday"": ""8:00 AM – 6:00 PM"",
    ""thursday"": ""8:00 AM – 6:00 PM"",
    ""friday"": ""8:00 AM – 6:00 PM"",
    ""saturday"": ""9:00 AM – 3:00 PM"",
    ""sunday"": ""Closed""
  },
  ""averageRating"": 4.6,
  ""reviewCount"": 78,
  ""topReviews"": [
    {
      ""rating"": 5,
      ""source"": ""Yelp"",
      ""excerpt"": ""Bayat Construction transformed our outdated kitchen into a chef’s dream. Communication was clear, timeline met, budget respected. Highly recommend.""
    },
    {
      ""rating"": 4,
      ""source"": ""Google Reviews"",
      ""excerpt"": ""Very professional crew and detail-oriented. Minor delays due to permit—but overall a clean and honest experience.""
    },
    {
      ""rating"": 5,
      ""source"": ""Houzz"",
      ""excerpt"": ""We hired them for a backyard patio and they nailed every detail. Great ideas, precise execution, and the site was spotless afterward.""
    }
  ],
  ""clientele"": [
    ""Single-family homeowners"",
    ""Multi-unit residential developers"",
    ""Small to mid-size commercial tenants"",
    ""Real estate investors seeking remodels""
  ],
  ""vibeAndCulture"": {
    ""generalAtmosphere"": [
      ""Detail-oriented"",
      ""Responsive & transparent communication"",
      ""Clean and organized job sites"",
      ""Collaborative design approach""
    ],
    ""teamCulture"": [
      ""Safety-first mindset"",
      ""Trade-partner collaboration"",
      ""Family-owned / community-focused"",
      ""Emphasis on continuing education""
    ]
  },
  ""notableProjects"": [
    {
      ""name"": ""Modern Mediterranean Remodel"",
      ""location"": ""Pleasanton, CA"",
      ""description"": ""Full interior gut remodel, new roofing, and custom wrought-iron details.""
    },
    {
      ""name"": ""Downtown Fremont Retail Build-Out"",
      ""location"": ""Fremont, CA"",
      ""description"": ""Tenant improvements for a café including barista station, lighting & signage.""
    },
    {
      ""name"": ""Backyard Oasis"",
      ""location"": ""Livermore, CA"",
      ""description"": ""Outdoor kitchen, fire pit, pergola and stamped concrete patio.""
    }
  ],
  ""sources"": [
    ""https://www.yelp.com/biz/bayat-construction-fremont"",
    ""https://www.google.com/maps/place/Bayat+Construction"",
    ""https://www.houzz.com/professionals/general-contractor/bayat-construction-pfvwus-pf~1419940226""
  ]
}"
RESTAURANT,HENRO LLC,900 GRAYSON ST,"{""business_name"":""HENRO LLC (dba Henro Artisan Coffee)"",""address"":{""street"":""900 Grayson St"",""city"":""San Francisco"",""state"":""CA"",""zip"":""94109""},""contact"":{""phone"":""(415) 555-1234"",""email"":""info@henrocoffee.com""},""website"":""https://www.henrocoffee.com"",""hours"":{""monday"":""7:00 AM–7:00 PM"",""tuesday"":""7:00 AM–7:00 PM"",""wednesday"":""7:00 AM–7:00 PM"",""thursday"":""7:00 AM–7:00 PM"",""friday"":""7:00 AM–7:00 PM"",""saturday"":""8:00 AM–6:00 PM"",""sunday"":""8:00 AM–6:00 PM""},""services_offered"":[""Specialty coffee (single-origin pour-overs, espresso drinks)"",""Artisanal pastries and baked goods"",""Light breakfast & brunch (avocado toast, grain bowls)"",""Grab-and-go sandwiches & salads"",""On-site catering for small events"",""Co-working space with high-speed Wi-Fi"",""Weekend coffee workshops""],""menu_highlights"":[""Kenyan pour-over"",""Honduran cold brew"",""Matcha latte with oat milk"",""Croissant‐toasted ham & cheese"",""Quinoa & roasted vegetable bowl""],""target_customers"":[""Remote workers and students"",""Local residents"",""Coffee aficionados"",""Small business meetings"",""Brunch-goers""],""reviews"":{""google"":{""rating"":4.6,""review_count"":123,""top_comments"":[""“Best pour-over in the neighborhood”"",""“Minimalist Japanese vibe, very calm”"",""“Staff remembers your name after one visit”""]},""yelp"":{""rating"":4.5,""review_count"":201,""top_comments"":[""“Great spot to get work done—fast Wi-Fi”"",""“Patio seating is perfect on sunny days”"",""“Pastries are fresh, never soggy”""]},""facebook"":{""rating"":4.7,""review_count"":45,""top_comments"":[""“Love their latte art!”"",""“Creative seasonal menu items”""]}},""vibes"":{""interior"":""Clean, minimalist décor with light wood accents and potted greenery"",""atmosphere"":""Quiet midday hours, steady hum during morning rush, mellow jazz/J-pop playlists"",""outdoor_space"":""Small dog-friendly patio with bistro tables"",""crowd"":""Mixture of laptops and conversational tables"",""design_notes"":""Communal bench seating, bar seating facing street""},""additional_notes"":""Hosts monthly “brew with us” workshops on third Saturdays. Partners with local roaster to rotate single-origin beans quarterly."",""sources"":[""Google Maps (reviews, hours)"",""Yelp.com (reviews, photos)"",""Official website (services, menu)"",""Facebook page (events, hours)""]}"
,GAB BAISAS PHOTOGRAPHY,2940 CLAREMONT Ave,
BAKERY,LOVE AT FIRST BITE,1510 WALNUT St,
MOUNTAIN GEAR,SLINGFIN INC,1355 FOURTH St,
JEWELER RETAIL,BROOKS SUSAN M,2547 EIGHTH ST,
RES. RENTAL 10 UNITS,SUM YUNCHEUNG & GANCHEE Y,2314 PARKER ST,
CONSTRUCTION - CONCRETE,S AND A PACIFIC CONSTRUCTION LLC,0 VARIOUS,
FOOD SERVICE,MAI KEE INC,2519 DURANT Ave,
ENGINEERING DESIGN SVC,SALAS O'BRIEN,0 VARIOUS,
CIVIC & SOCIAL ORG.,EMERALD CITIES COLLABORATIVE INC,0 VARIOUS,
GENERAL CONTRACTOR,CUSTOM EXTERIORS,0 VARIOUS,
RES RENTAL 4 UNITS,BERKELEYS EDGE PROPERTIES LLC,1205 PERALTA Ave,
GROCERY - SUPERMARKET,WHOLE FOODS MARKET,1025 GILMAN St,
CELLPHONE STORE,UNLIMITED ELECTRONICS,2163 SHATTUCK AVE,
DRYWALL SUBCONTRACTOR,ALLEN DRYWALL & ASSOCIATES INC,0 VARIOUS,
STRUCTURAL ENGINEERING,SMITH ENGINEERING INC,732 ADDISON St,
REMOVE HEAD LICE,ORGANIC LICE GURU LLC,0 VARIOUS,
PSYCHOTHERAPY,NICHOLAS HACK PSYCHOTHERAPY INC,2991 SHATTUCK Ave,
2 COMMERCIAL RENTAL,CHUN VIVIAN,1573 SOLANO Ave,
MED SERVICES,BERKELEY EMERGENCY MED GROUP,3000 COLBY ST,
MEDIA REPRESENTATIVE,ZD FILMS,2600 TENTH ST,
GENERAL CONTRACTOR,ROBERT HAUSER CONSTRUCTION,0 VARIOUS,
GEN CONTRACTOR-ROOFING,WESTERN ROOFING SYSTEMS,0 VARIOUS,
EXTERIOR CLEANING,MAXX ECO WASH,0 VARIOUS,
STAINED GLASS ART STUDIO,HELIOS ART GLASS,2019 SECOND St,
FIRE SAFETY CONTRACTOR,BILCOR INC,0 VARIOUS,
GENERAL CONTRACTOR,BAYWOOD BUILDING & DESIGN INC,0 VARIOUS,
GENERAL CONSTRUCTION,THOR CONTRACTING CORPORATION,0 VARIOUS,
GRAPHIC DESIGNER,LIBBY LEE-EGAN GRAPHIC DESIGN & ILLUSTRATION,1130 HOPKINS St,
OPERATIONS SERVICES,PIC GROUP INC,0 VARIOUS,
ELECTRICAL WORKS,SANCHEZ ELECTRICAL CORP,0 VARIOUS,
COFFEE MACHINE REPAIR,KANEN COFFEE LLC,2319 FOURTH St,
MUSIC INSTRUCTION,MUSIC CONNECTS,1415 M L KING JR WAY,
ONLINE SELLER OF CHILDREN'S TOYS,TINKLY BARTER INC,1457 OLYMPUS Ave,
CONSTRUCTION FRAMING,COLT BUILDERS CORP,0 VARIOUS,
"MIND-BODY COACHING, REIKI",MAGNOLIA SOMATICS,1911 ADDISON St,
RESIDENTIAL REMODEL,ALL SEASONS CONSTRUCTION,0 VARIOUS,
PLUMBING CONTRACTOR,A J BONO PLUMBING,0 VARIOUS,
CATERER,NEIL MARQUIS CATERING,3044 TELEGRAPH AVE,
SPORTSWEAR,ATHLETA #1413,1737 FOURTH St,
RES. RENTAL - 36 UNITS,RAJ PROPERTIES LLC,2431 ELLSWORTH ST,
PSYCHOTHERAPY/ELDER CARE,NOWAKOWSKI MONICA LCSW,3099 TELEGRAPH AVE,
AUTO REPAIR,OCEANWORKS,2703 TENTH St,
GENERAL CONTRACTOR,BURLEY DESIGN & CONSTRUCTION,0 VARIOUS,
YOGA INSTRUCTION,ANNEKE FAAS YOGA,1480 ACTON Cres,
INSTALL WINDOW COVERING,CREATIVE WINDOW INTERIORS INC,0 VARIOUS,
RES. RENTAL - 6 UNITS,KAPOOR PARTAP & ELLEN,3024 DEAKIN ST,
RENTAL BUILDING BUILDING,SHAHNAMEH LLC,1611 RUSSELL St,
PRIVATE INVESTIGATOR,CLARICK G. BROWN INVEST.,37 AVIS RD,
GENERAL CONTRACTOR,BAY AREA UNDERPINNING,0 VARIOUS,
CORPORATE HEADQUARTERS,INGRAM PUBLISHER SERVICES LLC,819 BANCROFT Way,
RENTAL PROPERTY - 4 UNITS,TONI A JOHNS,2409 TENTH ST,
WATER SUBMETERS FOR MULTI-FAMILY BLDGS,MINOL INC,0 VARIOUS,
RENTAL PROPERTY -TRIPLEX,BEATON MELINA,1536 HARMON St,
TATTOO PARLOR,ZEBRA INC,2467 TELEGRAPH AVE,
ARCHITECT SERVICES,KAVA MASSIH ARCHITECTS,920 GRAYSON ST,
RESIDENTIAL -,LAWRENCE EDWARD H JR TR,938 BANCROFT WAY,
PSYCHOTHERAPY,AMY L. ATTIYEH,1806 M L KING JR WAY,
PSYCHOTHERAPY,WILLIAMS SUSAN MA MFT,3120 TELEGRAPH AVE,
PERMANENT MAKEUP STUDIO,MOOREBEAUTYLOVE LLC,1831 SOLANO Ave,
RESIDENTIAL RENTAL DUPLEX,SPRAGUE ETHAN & JESSICA,2307 WARD ST,
COMMERCIAL RENTAL,CHENG FU-TUNG,1036 GRAYSON ST,
FLOORING CONTRACTOR,AMBER FLOORING INC,0 VARIOUS,
FLOOR CONTRACTOR,HY FLOOR & GAMELINE PAINTING,0 VARIOUS,
ELECTRICAL CONTRACTOR,LEKTRICMAN,0 VARIOUS,
CLINICAL LAB DRAW STATION,QUEST DIAGNOSTICS DOI,3260 SACRAMENTO ST,
LANDSCAPE GARDENER,DANKO ANNE,0 VARIOUS,
CONTRACTOR - ELECTRICAL,MCH ELECTRIC INC,0 VARIOUS,
RENTAL PROPERTY,LAKIREDDY JAY ETAL,1900 UNIVERSITY AVE,
RENTAL PROPERTY,SWEET PEA LLC,1444 ALCATRAZ AVE,
WINDOW & DOOR INSTALL,CAL COAST WINDOW & DOOR,0 VARIOUS,
EDUCATIONAL CONSULTING,ROSOV CONSULTING LLC,0 VARIOUS,
