APN,RecordID,BusDesc,B1_PER_SUB_TYPE,DBA,NAICS,Tax_Code,Employee_Num,Bus_Own_Type,B1_BUSINESS_NAME,B1_ADDRESS1,B1_ADDRESS2,B1_CITY,B1_STATE,B1_ZIP,B1_CONTACT_TYPE,B1_FULL_ADDRESS,B1_SITUS_CITY,B1_SITUS_STATE,B1_SITUS_ZIP,Business_Location
057 202500100,BL-051029,TEA HOUSE,Retail Trade,ASHA TEA HOUSE,722213,R,22,LLC,ASHA TEA HOUSE,2086 UNIVERSITY AVE,,BERKELEY,CA,94704,Business Owner,2086 UNIVERSITY AVE,BERKELEY,CA,94704,
055 187500700,BL-011075,RECORDS RETAIL,Retail Trade,RASPUTIN RECORDS,451220,R,20,Corporation,RASPUTIN RECORDS,2401 TELEGRAPH AVE,,BERKELEY,CA,94704,Business Owner,2401 TELEGRAPH AVE,BERKELEY,CA,94704,
057 205300100,BL-016178,RESTAURANT,Retail Trade,TANE VEGAN,722511 - Full-Service Restaurants,R,16,Corporation,TANE VEGAN,1956 SHATTUCK AVE,,BERKELEY,CA,94704-1032,Business Owner,1956 SHATTUCK Ave,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-017000,MOVING FOOD TRUCK,Retail Trade,HAPPY GRILL LLC,722513 - Limited-Service Restaurants,R,1,LLC,HAPPY GRILL LLC,2748 GREENWOOD DR,,SAN PABLO,CA,94806-3155,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 183302900,BL-038369,PUBLIC BENEFIT CORP,Non Profit Organizations,PARKER STREET FOUNDATION,813410 - Civic and Social Organizations,N,1,Corporation,PARKER STREET FOUNDATION,2330 PARKER ST,,BERKELEY,CA,94704-2818,Business Owner,2330 PARKER ST,BERKELEY,CA,94704,
056 194500301,BL-018513,CATERING,Retail Trade,XULO,722320 - Caterers,R,3,LLC,XULO,1532 WARD ST,,BERKELEY,CA,947031826,Business Owner,2326 FIFTH St,BERKELEY,CA,94710,
052 144502400,BL-003185,HAND-DYED ACCESSORIES,Retail Trade,MARREE,448150 - Clothing Accessories Stores,R,1,Sole Ownership,MARREE,1314 ALCATRAZ AVE,,BERKELEY,CA,947022606,Business Owner,1314 ALCATRAZ Ave,BERKELEY,CA,94702,
052 157101500,BL-016558,CHIROPRACTIC OFFICE,Professional SemiProfessional,KAIZEN CHIROPRACTIC + WELLNESS,621310 - Offices of Chiropractors,P,5,Corporation,KAIZEN CHIROPRACTIC + WELLNESS,2459 ASHBY AVE,,Berkeley,CA,94705,Business Owner,2459 ASHBY Ave,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-034320,GENERAL CONTRACTOR,Construction or Contractor,PING KUEN CONST CO,,,2,,PING KUEN CONST CO,875 ISLAND DR STE A,,ALAMEDA,CA,94502,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
057 210200501,BL-020418,JEWELRY SALES,Retail Trade,SHIBUMI GALLERY LLC,448310 - Jewelry Stores,R,5,LLC,SHIBUMI GALLERY LLC,770 CAMELIA ST # A,,BERKELEY,CA,947101329,Business Owner,1816 FOURTH St,BERKELEY,CA,94710,
056 201102700,BL-018055,GLASS WEAR/TABACCO,Retail Trade,ASHKAR OMAR,453991 - Tobacco Stores,R,1,Sole Ownership,ASHKAR OMAR,850 sunnyhills rd,,OAKLAND,CA,946102413,Business Owner,1776 UNIVERSITY Ave,BERKELEY,CA,94703,
055 190803300,BL-014696,CATERING,Retail Trade,HESHY FRIED CATERING LLC,722320 - Caterers,R,1,LLC,HESHY FRIED CATERING LLC,2307 MCGEE AVE,,BERKELEY,CA,947031623,Business Owner,2307 MCGEE Ave,BERKELEY,CA,94703,
056 197300601,BL-031920,CLOTHING & JEWELRY,Retail Trade,SIYA,448310 - Jewelry Stores,R,0,Corporation,SIYA,1038 UNIVERSITY AVE,,BERKELEY,CA,94710,Business Owner,1038 UNIVERSITY Ave,BERKELEY,CA,94710,
057 210200501,BL-001163,RESTAURANT,Retail Trade,IYASARE,722511 - Full-Service Restaurants,R,42,LLC,IYASARE,1830 4TH ST,,BERKELEY,CA,947101911,Business Owner,1830 FOURTH St,BERKELEY,CA,94710,
058 212700800,BL-020434,MOTEL 27 ROOMS,Rental of Real Property,BERKELEY INN,721110 - Hotels (except Casino Hotels) and Motels,L,4,LLC,BERKELEY INN,860 EDDY ST,,SAN FRANCISCO,CA,94109-7711,Business Owner,1720 SAN PABLO AVE,BERKELEY,CA,94702,
061 260300400,BL-032648,FURNITURE & GIFTS,Retail Trade,HANA DESIGN,442110 - Furniture Stores,R,0,Sole Ownership,HANA DESIGN,902 THE ALAMEDA,,BERKELEY,CA,94707,Business Owner,902 THE ALAMEDA,BERKELEY,CA,94707,
055 190500600,BL-016145,DIGITAL ART RETAIL,Retail Trade,SOVONIGHT,453920 - Art Dealers,R,0,Sole Ownership,SOVONIGHT,2300 GRANT ST,,BERKELEY,CA,947031716,Business Owner,2300 GRANT St,BERKELEY,CA,94703,
059 226000201,BL-022170,HAIR SALON,Business Personal Repair Svs,VINE STREET SALON,812112 - Beauty Salons,B,3,Partnership,VINE STREET SALON,2118 VINE ST STE D,,BERKELEY,CA,94709,Business Owner,2118 VINE ST,BERKELEY,CA,94709,
055 183900100,BL-044953,RETAIL COFFEE SHOP,Retail Trade,PEET'S COFFEE INC.,722213,R,15,Corporation,PEET'S COFFEE INC.,PO BOX 8000,,MONSEY,NY,10952,Business Owner,2501 TELEGRAPH AVE,BERKELEY,CA,94704,
060 241101106,BL-005055,MASSAGE & SKIN CARE,Massage,NOURISH,812199 - Other Personal Care Services,BM,0,Sole Ownership,NOURISH,1285 GILMAN ST,,BERKELEY,CA,94706-2351,Business Owner,1285 GILMAN St,BERKELEY,CA,94706,
053 165500202,BL-009731,ADHESIVE MANUFACTURING,Manufacturing,HENKEL CORPORATION,325520 - Adhesive Manufacturing,M,13,Corporation,HENKEL CORPORATION,800 GRAYSON ST,,BERKELEY,CA,94710,Business Owner,742 GRAYSON ST,BERKELEY,CA,94710,
056 197601600,BL-030305,LIGHTING FIXTURES,Manufacturing,METRO LIGHTING AND CRAFTS,331421,M,2,Sole Ownership,METRO LIGHTING AND CRAFTS,2240 SAN PABLO AVE,,BERKELEY,CA,94702,Business Owner,2240 SAN PABLO AVE,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-042333,GENERAL CONTRACTOR,Construction or Contractor,F D THOMAS INC,238160 - Roofing Contractors,C,400,Corporation,F D THOMAS INC,PO BOX 4663,,MEDFORD,OR,97501,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
059 226800601,BL-038754,RES. RENTAL - 6 UNITS,Rental of Real Property,YEGANEH REZA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,YEGANEH REZA,1531 CAMPUS DR,,BERKELEY,CA,94708-2042,Business Owner,1504 BONITA AVE,BERKELEY,CA,94709,
053 159801600,BL-053797,ART GALLERY/ RETAIL,Retail Trade,OXTAIL STUDIO LLC,453920 - Art Dealers,R,0,LLC,OXTAIL STUDIO LLC,2976 ADELINE ST,,BERKELEY,CA,94703,Business Owner,2976 ADELINE ST,BERKELEY,CA,94703,
057 209900602,BL-021753,ART GALLERY,Retail Trade,TRAX,453920 - Art Dealers,R,0,Sole Ownership,TRAX,1812 5TH STREET,,BERKELEY,CA,94710,Business Owner,1812 FIFTH ST,BERKELEY,CA,94710,
055 182401801,BL-009293,ELECTRONICS STORE,Retail Trade,MUSIC LOVERS INC,443112,R,9,Corporation,MUSIC LOVERS INC,2116 BLAKE ST,,BERKELEY,CA,94704-2716,Business Owner,2116 BLAKE ST,BERKELEY,CA,94704,
058 214001201,BL-018204,FLORIST,Retail Trade,INNER BLOOM,453110 - Florists,R,0,Sole Ownership,INNER BLOOM,1345 FRANCISCO ST,,BERKELEY,CA,947021410,Business Owner,1345 FRANCISCO St,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-021856,DRYWALL INSTALLATION,Construction or Contractor,ROCK THE WALLS DRYWALL,238310 - Drywall and Insulation Contractors,C,15,Corporation,ROCK THE WALLS DRYWALL,787 BERYL PL,,HAYWARD,CA,94544,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
062 287202200,BL-019596,ZERO WASTE,Retail Trade,FILLGOOD,452990 - All Other General Merchandise Stores,R,5,LLC,FILLGOOD,1579A SOLANO AVE,,BERKELEY,CA,94707,Business Owner,1579 SOLANO Ave,BERKELEY,CA,94707,
057 203201000,BL-045354,SANDWICH SHOP,Retail Trade,SANDWICH ZONE,722211,R,2,Sole Ownership,SANDWICH ZONE,2117 SHATTUCK AVE,,BERKELEY,CA,94704,Business Owner,2117 SHATTUCK AVE,BERKELEY,CA,94704,
056 197901500,BL-050001,ITALIAN RESTAURANT,Retail Trade,LUCA,722110,R,26,Sole Ownership,LUCA,1092 LARCH AVENUE,,MORAGA,CA,94556,Business Owner,2057 SAN PABLO AVE,BERKELEY,CA,94702,
055 189802300,BL-020823,COMPUTER STORE,Retail Trade,COM NET,443120,R,0,Sole Ownership,COM NET,1916 HASTE ST STE A,,BERKELEY,CA,94704,Business Owner,1916 HASTE ST,BERKELEY,CA,94704,
055 182301400,BL-008959,CATERING,Retail Trade,MUSASHIYA CORPORATION,722320 - Caterers,R,17,Corporation,MUSASHIYA CORPORATION,2126 DWIGHT WAY,,BERKELEY,CA,94704-2015,Business Owner,2126 DWIGHT WAY,BERKELEY,CA,94704,
058 212702200,BL-037353,GARDENING,Business Personal Repair Svs,GARDENSCAPE,561730 - Landscaping Services,B,0,Sole Ownership,GARDENSCAPE,PO BOX 699,,EL CERRITO,CA,94530-0699,Business Owner,1731 TENTH ST,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-021088,IN-HOME PHYSICAL THERAPY,Professional SemiProfessional,SARA GAMBLE PHYSICAL THERAPY,621610 - Home Health Care Services,P,1,Sole Ownership,SARA GAMBLE PHYSICAL THERAPY,611 SAN LUIS RD,,BERKELEY,CA,94707-1725,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
061 257902200,BL-015227,LEGAL PROFESSIONAL,Professional SemiProfessional,BERMAN LAW PC,541110 - Offices of Lawyers,P,2,Corporation,BERMAN LAW PC,72 SAN MATEO RD,,BERKELEY,CA,947072016,Business Owner,72 SAN MATEO Rd,BERKELEY,CA,94707,
057 205900500,BL-037756,GRAPHIC DESIGN,Professional SemiProfessional,DESIGN SITE,541430 - Graphic Design Services,P,1,Corporation,DESIGN SITE,1942 BONITA AVE,,BERKELEY,CA,94704-1038,Business Owner,1984 BONITA AVE,BERKELEY,CA,94704,
057 205900500,BL-003233,PUBLISHER,Manufacturing,CANTERBURY PRESS,511120 - Periodical Publishers,M,2,Corporation,CANTERBURY PRESS,1946 BONITA AVE,,BERKELEY,CA,94704,Business Owner,1946 BONITA Ave,BERKELEY,CA,94704,
058 220000800,BL-008284,JAPANESE RESTAURANT,Retail Trade,AKI JAPANESE RESTAURANT,722511 - Full-Service Restaurants,R,2,Sole Ownership,AKI JAPANESE RESTAURANT,2505 HEARST AVE STE C,,BERKELEY,CA,94709-1181,Business Owner,2505 HEARST Ave,BERKELEY,CA,94709,
053 158901500,BL-047594,LIMITED SERVICE PIZZERIA,Retail Trade,EMILIA'S PIZZERIA,722211,R,2,LLC,EMILIA'S PIZZERIA,2995 SHATTUCK AVE,,BERKELEY,CA,94705,Business Owner,2995 SHATTUCK AVE,BERKELEY,CA,94705,
058 219101400,BL-049043,CATERING,Retail Trade,LA CREPE A MOI,722320 - Caterers,R,7,Sole Ownership,LA CREPE A MOI,1854 EUCLID AVE,,BERKELEY,CA,94709-1318,Business Owner,2432 NINTH ST,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-022117,NATURAL AREAS MGMT CONSULT,Professional SemiProfessional,ECO-MANAGEMENT INC,541620 - Environmental Consulting Services,P,1,Corporation,ECO-MANAGEMENT INC,PO BOX 660,,PETALUMA,CA,94953,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 186601200,BL-002462,SORORITY/FOOTBALL PARKING 25,Non Profit Organizations,CHI OMEGA,812930 - Parking Lots and Garages,N,6,Corporation,CHI OMEGA,,,,,,Business Owner,2421 PIEDMONT AVE,BERKELEY,CA,94704,
054 172902602,BL-048978,RENTAL PROPERTY,Rental of Real Property,AZN LLC,531110 - Lessors of Residential Buildings and Dwellings,L,1,LLC,AZN LLC,PO BOX 3416,,BERKELEY,CA,94703,Business Owner,1712 WARD ST,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-022457,ROOFING - SHEET METAL,Construction or Contractor,SHAUGHNESSY ROOFING INC,238160 - Roofing Contractors,C,15,Cooperative Corporation,SHAUGHNESSY ROOFING INC,PO BOX 5705,,S SAN FRAN,CA,94083,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 177800202,BL-042795,TUTORING SERVICES ACADEMIC,Professional SemiProfessional,DAVID PLAFKER,611691 - Exam Preparation and Tutoring,P,0,Sole Ownership,DAVID PLAFKER,2218 CURTIS ST,,BERKELEY,CA,94702,Business Owner,2550 NINTH ST,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-021345,SELLING MEAT-BASED JERKY PRODUCTS,Retail Trade,BONJERK LLC,445299 - All Other Specialty Food Stores,R,1,LLC,BONJERK LLC,PO BOX 1124,,SAN LEANDRO,CA,945770131,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
057 205301402,BL-011650,"SAREES, AUDIO, VIDEO",Retail Trade,SHRIMATIS LTD,451220,R,2,Corporation,SHRIMATIS LTD,2011 UNIVERSITY AVE,,BERKELEY,CA,947041005,Business Owner,2011 UNIVERSITY AVE,BERKELEY,CA,94704,
058 212102900,BL-048445,ATTORNEY,Professional SemiProfessional,PULIDO DEBORAH,541110 - Offices of Lawyers,P,0,Sole Ownership,PULIDO DEBORAH,1613 SEVENTH ST,,BERKELEY,CA,94710,Business Owner,1613 SEVENTH ST,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-016488,WATER HEATER REPLACE,Construction or Contractor,HARRIS WATER HEATERS INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,5,Corporation,HARRIS WATER HEATERS INC,6270 CROW CANYON RD,,CASTRO VALLEY,CA,94552-9740,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-026575,FIRE PROTECTION CONTR,Construction or Contractor,AQUAMATIC FIRE PROTECTION INC,315211,C,47,Corporation,AQUAMATIC FIRE PROTECTION INC,540 GARCIA AVE STE A,,PITTSBURG,CA,945654950,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 219401300,BL-048431,RENTAL PROPERTY,Rental of Real Property,JEC ASSOCIATES,531110 - Lessors of Residential Buildings and Dwellings,L,0,,JEC ASSOCIATES,1035 SAN PABLO AVE STE 12,,BERKELEY,CA,94706,Business Owner,1681 SCENIC AVE,BERKELEY,CA,94709,
055 190500700,BL-041522,SPICES & SEASONING,Wholesale Trade,CHEF'S CATERING,424490,W,1,Sole Ownership,CHEF'S CATERING,2304 GRANT ST APT L,,BERKELEY,CA,94703,Business Owner,2304 GRANT ST,BERKELEY,CA,94703,
054 172000900,BL-039110,RENTAL PROPERTY,Rental of Real Property,JACK YOUN,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,JACK YOUN,2958 HEDGE CT,,OAKLAND,CA,94602,Business Owner,2143 STUART ST,BERKELEY,CA,94705,
054 176500401,BL-007019,RESTAURANT,Retail Trade,JUANS PLACE,722110,R,6,Partnership,JUANS PLACE,941 CARLETON ST,,BERKELEY,CA,94710,Business Owner,941 CARLETON ST,BERKELEY,CA,94710,
054 174600205,BL-000372,CATERING,Retail Trade,NOURISH YOU,722320 - Caterers,R,3,LLC,NOURISH YOU,114 GLASHAUS LOOP,,EMERYVILLE,CA,946081298,Business Owner,2701 EIGHTH St,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-052761,PAVING CONTRACTOR,Construction or Contractor,VIKING PAVERS INC,238990 - All Other Specialty Trade Contractors,C,8,Corporation,VIKING PAVERS INC,227 F TEWSBURY AVE,,POINT RICHMOND,CA,94801,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-011638,JANITORIAL SERVICES,Non Profit Organizations,PRIDE INDUSTRIES ONE INC,561720 - Janitorial Services,N,20,Corporation,PRIDE INDUSTRIES ONE INC,1555 PARK AVE STE F,,EMERYVILLE,CA,946083586,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
063 311001700,BL-052581,AUTHOR,Entertainment Recreation,BIASIN MARIA RITA,"711510 - Independent Artists, Writers, and Performers",E,0,Sole Ownership,BIASIN MARIA RITA,5 SUNSET LN,,BERKELEY,CA,94708-1535,Business Owner,5 SUNSET LN,BERKELEY,CA,94708,
061 260204401,BL-014704,PIZZERIA,Retail Trade,ZACHARY'S CHICAGO PIZZA,722110,R,30,Corporation,ZACHARY'S CHICAGO PIZZA,5801 COLLEGE AVE,,OAKLAND,CA,94618,Business Owner,1853 SOLANO AVE,BERKELEY,CA,94707,
ZZZZZZZZZZZZZ,BL-045004,VEHICLE FOR HIRE/TAXI,Auto Vehicle For Hire,EAGLE CAB CO  /OWNER,485310 - Taxi Service,A,0,Sole Ownership,EAGLE CAB CO  /OWNER,1254 CANTERBURY,,HERCULES,CA,94547,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021415,HANDYMAN,Business Personal Repair Svs,OLIVEIRA MILLER,811490 - Other Personal and Household Goods Repair and Maintenance,B,1,Sole Ownership,OLIVEIRA MILLER,930 KAINS AVE,,ALBANY,CA,94706-2067,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 216501500,BL-027959,FRISBIE GOLF EQUIPMENT,Retail Trade,AIRWARE,451110 - Sporting Goods Stores,R,0,Partnership,AIRWARE,1638 JOSEPHINE ST,,BERKELEY,CA,94703,Business Owner,1638 JOSEPHINE ST,BERKELEY,CA,94703,
057 209801502,BL-015523,LAW FIRM,Professional SemiProfessional,ABKIN LAW PLC,541110 - Offices of Lawyers,P,3,Corporation,ABKIN LAW PLC,803 HEARST AVE,,BERKELEY,CA,947102017,Business Owner,803 HEARST Ave,BERKELEY,CA,94710,
059 226000201,BL-020099,COFFEE/TEA BAR,Retail Trade,PEET'S COFFEE INC,722213,R,21,Corporation,PEET'S COFFEE INC,PO BOX 8000,,MONSEY,NY,10952 850,Business Owner,2124 VINE ST,BERKELEY,CA,94709,
ZZZZZZZZZZZZZ,BL-010997,RE-ROOFING & REPAIRS,Construction or Contractor,MOORE RESIDENTIAL ROOFING INC,238160 - Roofing Contractors,C,2,LLC,MOORE RESIDENTIAL ROOFING INC,1468 GRAND AVE SPC 4,,SAN LEANDRO,CA,94577-5362,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 219100200,BL-007690,RESTAURANT,Retail Trade,LA BURRITA,722110,R,4,Partnership,LA BURRITA,1832 EUCLID AVE,,BERKELEY,CA,94709,Business Owner,1832 EUCLID AVE,BERKELEY,CA,94709,
057 206101100,BL-022433,COFFEE SHOP,Retail Trade,JAFFA COFFE ROASTERS,722513 - Limited-Service Restaurants,R,3,LLC,JAFFA COFFE ROASTERS,1701 UNIVERSITY AVE,,BERKELEY,CA,94703-1513,Business Owner,1701 UNIVERSITY Ave,BERKELEY,CA,94703,
060 235700100,BL-011513,BREWING COLD BREW,Manufacturing,BLUE BOTTLE COFFEE INC,311920 - Coffee and Tea Manufacturing,M,5,Corporation,BLUE BOTTLE COFFEE INC,476 NINTH ST,,OAKLAND,CA,94607,Business Owner,901 GILMAN St,BERKELEY,CA,94710,
060 240402702,BL-009767,GARDEN & INDOOR FURNITURE,Retail Trade,UCHI,442299 - All Other Home Furnishings Stores,R,2,LLC,UCHI,1325 SAN PABLO AVE,,BERKELEY,CA,94702-1021,Business Owner,1325 SAN PABLO Ave,BERKELEY,CA,94702,
055 187902203,BL-003129,DELICATESSEN,Retail Trade,CHEESE N STUFF,722211,R,5,Sole Ownership,CHEESE N STUFF,2442 DURANT AVE,,BERKELEY,CA,94704-1611,Business Owner,2442 DURANT AVE,BERKELEY,CA,94704,
058 220000800,BL-021586,COFFEE SHOP,Retail Trade,GOLD BEAN CAFE LLC,722513 - Limited-Service Restaurants,R,8,LLC,GOLD BEAN CAFE LLC,2131 DURANT AVE,,BERKELEY,CA,94704-1514,Business Owner,2503 HEARST Ave,BERKELEY,CA,94709,
052 156200300,BL-012794,ARTIST STUDIO,Professional SemiProfessional,UNIQUE HOUSING LLC,541430 - Graphic Design Services,P,4,LLC,UNIQUE HOUSING LLC,PO BOX 5453,,BERKELEY,CA,94705-2433,Business Owner,3000 COLLEGE AVE,BERKELEY,CA,94705,
063 298302000,BL-005039,INTERNET GRAPHICS,Professional SemiProfessional,CAT'S CLIPS,541430 - Graphic Design Services,P,0,Sole Ownership,CAT'S CLIPS,2965 SHASTA RD,,BERKELEY,CA,94708-2117,Business Owner,2965 SHASTA Rd,BERKELEY,CA,94708,
055 188401200,BL-007801,DENTISTRY,Professional SemiProfessional,AMY S AU DDS INC,621210 - Offices of Dentists,P,16,Corporation,AMY S AU DDS INC,2300 DURANT AVE,,BERKELEY,CA,94704-1607,Business Owner,2300 DURANT Ave,BERKELEY,CA,94704,
059 233701600,BL-007637,POTTERY,Manufacturing,LAW MARY M POTTERY,327112,M,1,Sole Ownership,LAW MARY M POTTERY,1421 5TH ST,,BERKELEY,CA,947101343,Business Owner,1421 FIFTH ST,BERKELEY,CA,94710,
060 245305600,BL-020384,LAW FIRM,Professional SemiProfessional,MORRIS LAW PC,541110 - Offices of Lawyers,P,6,Corporation,MORRIS LAW PC,2025 ROSE ST STE 200,,BERKELEY,CA,947091993,Business Owner,2025 ROSE St,BERKELEY,CA,94709,
052 158402600,BL-020765,CONTRACTOR GENERAL,Construction or Contractor,TOUCAN REMODELING,,,1,,TOUCAN REMODELING,2656 LE CONTE AVE,,BERKELEY,CA,94709-1025,Business Owner,2656 LE CONTE Ave,BERKELEY,CA,94709,
060 235200100,BL-002137,SPORTS STORE,Retail Trade,SOCCER PRO INC.,451110 - Sporting Goods Stores,R,8,Corporation,SOCCER PRO INC.,6635 DUBLIN BLVD,,DUBLIN,CA,94568-3000,Business Owner,1324 TENTH St,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-020393,CONSTRUCTION,Construction or Contractor,GOERIZ BUILDERS INC,236118 - Residential Remodelers,C,0,Corporation,GOERIZ BUILDERS INC,5737 MORAGA AVE,,PIEDMONT,CA,94611-3149,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-004608,COFFEE,Wholesale Trade,FARMER BROS CO,424490,W,1,Corporation,FARMER BROS CO,14501 NORTH FWY,,FORT WORTH,TX,76177 330,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 188800400,BL-027222,RENTAL PROPERTY/3 UNITS,Rental of Real Property,HASHEMI HAMID,531110 - Lessors of Residential Buildings and Dwellings,L,4,Sole Ownership,HASHEMI HAMID,PO BOX 1166,,ALAMO,CA,94507,Business Owner,2420 ELLSWORTH ST,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-010827,PERSONNEL AGENCY,Professional SemiProfessional,ROBERT HALF INC.,561310,P,265,Corporation,ROBERT HALF INC.,"3001 BISHOP DRIVE, SUITE 140",,SAN RAMON,CA,94583,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-008373,SPORTS MASSAGE THERAPIST,Massage,ALL SPORTS MASSAGE 360,812199 - Other Personal Care Services,BM,0,Sole Ownership,ALL SPORTS MASSAGE 360,22335 FOOTHILL BLVD unit 2065,,HAYWARD,CA,94541-2748,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-015111,CONTRACTOR,Construction or Contractor,TRI VALLEY EXCAVATING CO INC,238990 - All Other Specialty Trade Contractors,C,18,Corporation,TRI VALLEY EXCAVATING CO INC,PO BOX 287,,SUNOL,CA,94586,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
060 243502801,BL-017884,"HAIRSTYLIST, BOOTH RENTAL",Business Personal Repair Svs,LIDA LAHIDJI,812112 - Beauty Salons,B,1,LLC,LIDA LAHIDJI,1601 HOPKINS ST,,BERKELEY,CA,94707-2712,Business Owner,1601 HOPKINS St,BERKELEY,CA,94707,
